ID,FirstYear,LastYear,LEGO,LDraw,BrickLink,BrickOwl
13,1991,2006,1007 ['L.REDVIOL'],13 ['Pink'],23 ['Pink'],3 ['Pink']
1050,2019,2022,1017 ['CORAL'],353 ['Coral'],220 ['Coral'],
1037,1963,1963,,,147 ['Mx Violet'],
45,1998,2022,"113 ['Tr. Medi. reddish violet', 'TR.ML.R.VIOL']",37 ['Trans_Dark_Pink'],50 ['Trans-Dark Pink'],99 ['Transparent Dark Pink']
114,1999,2021,"114 ['Tr. Medium Reddish-Violet w. Glitter 2%', 'TR.M.R.V.GLI']",114 ['Glitter_Trans_Dark_Pink'],100 ['Glitter Trans-Dark Pink'],132 ['Transparent Pink Glitter']
351,1992,2003,"22 ['Medium Reddish Violet', 'MD.REDVIOL']",351 ['Medium_Dark_Pink'],94 ['Medium Dark Pink'],75 ['Medium Dark Pink']
1038,1963,1963,,,148 ['Mx Pink'],
69,2003,2007,"198 ['Bright Reddish Lilac', 'BR. RED. LILAC']",69 ['Light_Purple'],93 ['Light Purple'],69 ['Light Purple']
29,2003,2022,"222 ['Light Purple', 'LGH. PURPLE']",29 ['Bright_Pink'],104 ['Bright Pink'],45 ['Bright Pink']
230,2000,2006,230 ['TR. BR. PURPLE'],45 ['Trans_Pink'],107 ['Trans-Pink'],106 ['Transparent Pink']
5,1994,2022,"221 ['Bright Purple', 'BR. PURPLE']",5 ['Dark_Pink'],47 ['Dark Pink'],17 ['Dark Pink']
26,2000,2022,"124 ['Bright reddish violet', 'BR.RED-VIOL.']",26 ['Magenta'],71 ['Magenta'],72 ['Magenta']
63,2001,2018,,63 ['Chrome_Pink'],82 ['Chrome Pink'],114 ['Chrome Pink']
1054,2020,2021,"362 ['Transparent Medium Reddish Violet with Opalescence', 'Tr.M.Violet Opa']",364 ['Opal_Trans_Dark_Pink'],224 ['Satin Trans-Dark Pink'],199 ['Transparent Dark Pink Opal']
22,1996,2006,"104 ['Bright violet', 'BR. VIOLET']",22 ['Purple'],24 ['Purple'],4 ['Purple']
373,2001,2003,136 ['Sand violet'],373 ['Sand_Purple'],54 ['Sand Purple'],86 ['Sand Purple']
236,2000,2006,"284 ['TR. RED-LILAC', 'TR. RE-LILAC']","44 ['Trans_Light_Purple']
284 ['Trans_Light_Purple']",114 ['Trans-Light Purple'],26 ['Transparent Light Purple']
31,2011,2022,325 ['Lavender'],31 ['Lavender'],154 ['Lavender'],36 ['Lavender']
1007,2004,2005,218 ['RED. LILAC'],218 ['Medium Purple'],227 ['Clikits Lavender'],
30,2011,2022,"324 ['Medium Lavender', 'MEDIUM LAVENDEL']",30 ['Medium_Lavender'],157 ['Medium Lavender'],76 ['Medium Lavender']
1059,2020,2020,1020 ['Tr.Violet Opal'],,230 ['Satin Trans-Purple'],203 ['Transparent Purple Opal']
85,2000,2022,"268 ['Medium Lilac', 'M. LILAC']",85 ['Dark_Purple'],89 ['Dark Purple'],55 ['Dark Purple']
1001,1999,2005,"219 ['Lilac']
112 ['Medium Bluish Violet']","219 ['Lilac']
112 ['Medium_Violet']",73 ['Medium Violet'],78 ['Medium Violet']
1018,1963,1963,,,128 ['Mx Black'],
52,2000,2022,"126 ['Tr. Bright bluish violet', 'TR.KL.BL.VIO']
236 ['TR. BR. RED. LI']",52 ['Trans_Purple'],51 ['Trans-Purple'],107 ['Transparent Purple']
129,2000,2022,"129 ['Tr. Bright Bluish Violet w. Glitter 2%', 'TR.BR.BL.V.G']",129 ['Glitter_Trans_Purple'],102 ['Glitter Trans-Purple'],22 ['Transparent Purple Glitter']
1016,1963,1963,,,126 ['Mx Charcoal Gray'],
20,1994,2005,"39 ['Light bluish violet', 'L.BLUEVIOL']",20 ['Light_Violet'],44 ['Light Violet'],16 ['Light Violet']
80,1957,2022,"298 ['Cool silver']
1002 ['C.SILVER, DR. L']
1015 ['C.SILVER']
296 ['Cool silver']
336 ['SILVER INK']",80 ['Metallic_Silver'],67 ['Metallic Silver'],126 ['Metallic Silver']
23,2004,2006,"196 ['Dark Royal blue', 'DK. R.BLUE']",23 ['Dark_Blue_Violet'],109 ['Dark Blue-Violet'],49 ['Dark Royal Blue']
110,1999,2008,"110 ['Bright Bluish Violet', 'BR.BLUEVIOL']
1009 ['LILAC']",110 ['Violet'],43 ['Violet'],15 ['Violet']
112,2004,2005,"112 ['Medium Bluish Violet', 'ML.BLUEVIOL']",112 ['Medium_Violet'],97 ['Blue-Violet'],40 ['Royal Blue']
33,1965,2022,"43 ['Tr. Blue', 'TR.BLUE']",33 ['Trans_Dark_Blue'],14 ['Trans-Dark Blue'],98 ['Transparent Dark Blue']
1061,2021,2022,1019 ['Tr.Blue Opal'],,232 ['Satin Trans-Dark Blue'],209 ['Transparent Dark Blue Opal']
379,2001,2022,135 ['Sand blue'],379 ['Sand_Blue'],55 ['Sand Blue'],85 ['Sand Blue']
137,2002,2009,"145 ['Sand blue metallic']
137 ['Metal Blue', 'MET.SAND.BLU']",137 ['Metal_Blue'],78 ['Metal Blue'],118 ['Metallic Blue']
43,2003,2006,"229 ['Transparent Light Bluish Green', 'TR. LGH. BL. GR']",39 ['Trans_Light_Blue'],113 ['Trans-Aqua'],25 ['Transparent Very Light Blue']
1,1949,2022,"23 ['Bright Blue', 'BR.BLUE']
185 ['Metallic Bright Blue', 'MET. BR. BLUE']",1 ['Blue'],7 ['Blue'],39 ['Blue']
1035,1963,1963,,,144 ['Mx Medium Blue'],
1034,1963,1963,,,143 ['Mx Tile Blue'],
272,1997,2022,140 ['Earth blue'],272 ['Dark_Blue'],63 ['Dark Blue'],48 ['Dark Blue']
64,2008,2020,,64 ['Chrome_Black'],122 ['Chrome Black'],111 ['Chrome Black']
73,1984,2022,"102 ['Medium blue', 'MD.BLUE']",73 ['Medium_Blue'],42 ['Medium Blue'],14 ['Medium Blue']
1006,2001,2005,"293 ['TR. L.ROYAL BLUE', 'TR.L.ROYAL BLUE']",293 ['Trans_Light_Blue_Violet'],,
1014,1963,1963,,,124 ['Mx Light Bluish Gray'],
61,1998,2006,,61 ['Chrome_Blue'],52 ['Chrome Blue'],112 ['Chrome Blue']
212,2004,2022,"212 ['Light Royal blue', 'LGH. ROY. BLUE']",212 ['Bright_Light_Blue'],105 ['Bright Light Blue'],42 ['Bright Light Blue']
321,2011,2022,321 ['Dark Azur'],321 ['Dark_Azure'],153 ['Dark Azure'],47 ['Dark Azure']
313,1974,2006,,313 ['Maersk_Blue'],72 ['Maersk Blue'],71 ['Maersk Blue']
1036,1963,1963,,,145 ['Mx Pastel Blue'],
232,2003,2007,"232 ['Dove blue', 'DO. BLUE']",232 ['Sky_Blue'],87 ['Sky Blue'],88 ['Sky Blue']
9,1995,2007,45 ['Light blue'],9 ['Light_Blue'],62 ['Light Blue'],63 ['Light Blue']
143,2001,2019,"143 ['Tr. Flu. Blue', 'TR.FL. BLUE']",41 [''],74 ['Trans-Medium Blue'],102 ['Transparent Medium Blue']
1033,1963,1963,,,146 ['Mx Teal Blue'],
1008,1949,1949,,,,
1003,2015,2021,"302 ['PCTR LI.BLUE W/', '4.MULT', 'TR LI.BLUE W/']",302 ['Glitter_Trans_Light_Blue'],162 ['Glitter Trans-Light Blue'],165 ['Transparent Light Blue Glitter']
1053,2020,2021,"362 ['Transparent Blue Opal', 'TR. BLUE OPAL']",362 ['Opal_Trans_Light_Blue'],223 ['Satin Trans-Light Blue'],175 ['Transparent Blue Opal']
322,2012,2022,"322 ['Medium Azure', 'MEDIUM AZUR']",322 ['Medium_Azure'],156 ['Medium Azure'],73 ['Medium Azure']
1051,2005,2011,"11 ['Pastel Blue', 'PASTBLU']",,72 ['Maersk Blue'],
3,1998,2022,"107 ['Bright bluish green', 'BR.BLUEGREEN']",3 ['Dark_Turquoise'],39 ['Dark Turquoise'],58 ['Dark Turquoise']
0,1957,2022,"26 ['Black', 'BLACK']
149 ['Metallic Black', 'MET.BLACK']
1012 ['CONDUCT. BLACK']","0 ['Black']
256 ['Rubber_Black']",11 ['Black'],38 ['Black']
75,2006,2006,75 ['COP. DIF.'],75 ['Speckle_Black_Copper'],116 ['Speckle Black-Copper'],133 ['Speckle Black Copper']
132,2005,2013,"132 ['Black Glitter', 'CO.SILVER DIF']",132 ['Speckle_Black_Silver'],111 ['Speckle Black-Silver'],24 ['Speckle Black']
133,2010,2011,,133 ['Speckle_Black_Gold'],151 ['Speckle Black-Gold'],35 ['Speckle Black Gold']
11,1998,2004,"116 ['Med. bluish green', 'MD.BL-GREEN']",11 ['Light_Turquoise'],40 ['Light Turquoise'],12 ['Light Turquoise']
41,1985,2022,"42 ['Tr. Lg blue', 'TR.L.BLUE', '1.MULT']",43 ['Trans_Medium_Blue'],15 ['Trans-Light Blue'],101 ['Transparent Light Blue']
323,2011,2022,323 ['Aqua'],323 ['Light_Aqua'],152 ['Light Aqua'],62 ['Light Aqua']
118,1998,2021,"118 ['Light bluish green', 'L.BLUE-GREEN']",118 ['Aqua'],41 ['Aqua'],13 ['Aqua']
135,1998,2019,"179 ['Silver flip/flop', 'SILVER']
131 ['Silver']",135 ['Pearl_Light_Gray'],66 ['Pearl Light Gray'],122 ['Pearl Light Gray']
1032,1963,1963,,,142 ['Mx Aqua Green'],
288,1999,2022,"141 ['Earth Green', 'EARTH GREEN']",288 ['Dark_Green'],80 ['Dark Green'],20 ['Dark Green']
62,1999,1999,,62 ['Chrome_Green'],64 ['Chrome Green'],113 ['Chrome Green']
74,1994,2005,"29 ['Medium green', 'MD.GREEN']",74 ['Medium_Green'],37 ['Medium Green'],10 ['Medium Green']
2,1949,2022,"28 ['Dark green', 'DK.GREEN']
186 ['Metallic Dark Green', 'MET. DK. GREEN']","2 ['Green']
186 ['Metallic_Dark_Green']",6 ['Green'],61 ['Green']
1058,2005,2006,285 ['Transparent Light Green'],285 ['TranS_Light_Green'],221 ['Trans-Light Green'],
1009,1949,1949,,,,
10,1949,2022,"37 ['Bright Green', 'BR.GREEN']",10 ['Bright_Green'],36 ['Bright Green'],41 ['Bright Green']
34,1969,2022,"48 ['Tr. Green', 'TR.GREEN']",34 ['Trans_Green'],20 ['Trans-Green'],100 ['Transparent Green']
1060,2021,2021,1021 ['Tr.Green Opal'],,233 ['Satin Trans-Bright Green'],207 ['Transparent Green Opal']
7,1954,2006,2 ['Grey'],7 ['Light_Gray'],9 ['Light Gray'],66 ['Light Gray']
378,2000,2022,151 ['Sand green'],378 ['Sand_Green'],48 ['Sand Green'],18 ['Sand Green']
1030,1963,1963,,,141 ['Mx Pastel Green'],
1031,1963,1963,,,140 ['Mx Olive Green'],
294,2005,2011,"294 ['Phosphorescent Green', 'PH.GREEN']",294 ['Glow_In_Dark_Trans'],118 ['Glow In Dark Trans'],128 ['Glow in the Dark Transparent']
17,1992,2005,"6 ['Light green', 'L.GREEN']",17 ['Light_Green'],38 ['Light Green'],11 ['Light Green']
1057,2003,2006,"227 ['Transparent Bright Yellowish Green', 'TR. BR. YEL GR']",,226 ['Trans-Light Bright Green'],
81,2001,2003,200 ['Lemon Metallic'],81 ['Metallic_Green'],70 ['Metallic Green'],125 ['Metallic Green']
158,2012,2022,"326 ['Spring Yellow Green', 'SPR. YELL. GREE']",326 ['Yellowish_Green'],158 ['Yellowish Green'],94 ['Yellowish Green']
35,2010,2022,"311 ['Transparent Bright Green', 'TR. BR. GREEN']",35 ['Trans_Bright_Green'],108 ['Trans-Bright Green'],96 ['Transparent Bright Green']
120,1992,2008,"120 ['Lig. yellowish green', 'L.YEL-GREEN']",120 ['Light_Lime'],35 ['Light Lime'],67 ['Light Lime']
27,1982,2022,"119 ['Br. yellowish green', 'BR.YEL-GREEN']",27 ['Lime'],34 ['Lime'],70 ['Lime']
1002,2015,2018,339 ['TR.FL.GRE W/GLI'],339 ['Glitter_Trans_Neon_Green'],163 ['Glitter Trans-Neon Green'],167 ['Transparent Neon Green Glitter']
115,1998,2005,"115 ['Med. yellowish green', 'MD.YEL-GREEN']",115 ['Medium_Lime'],76 ['Medium Lime'],77 ['Medium Lime']
1029,1963,1963,,,139 ['Mx Lemon'],
226,2004,2022,"226 ['Cool Yellow', 'COOL YEL.']",226 ['Bright_Light_Yellow'],103 ['Bright Light Yellow'],44 ['Bright Light Yellow']
42,1988,2021,"49 ['Tr. Flu. Green', 'TR.FL.GREEN']",42 ['Trans_Neon_Green'],16 ['Trans-Neon Green'],103 ['Transparent Neon Green']
326,2012,2022,"330 ['Olive Green', 'OLIVE GREEN']",330 ['Olive_Green'],155 ['Olive Green'],79 ['Olive Green']
1020,1963,1963,,,134 ['Mx Terracotta'],
8,1978,2006,"27 ['Dark grey', 'DK.GREY']",8 ['Dark_Gray'],10 ['Dark Gray'],53 ['Dark Gray']
21,1990,2011,"50 ['Phosp. White', 'PHOS.WHITE']",21 ['Glow_In_Dark_Opaque'],46 ['Glow In Dark Opaque'],127 ['Glow in the Dark Opaque']
503,1997,2004,103 ['Light grey'],503 ['Very_Light_Gray'],49 ['Very Light Gray'],19 ['Very Light Gray']
1062,2022,2022,368 ['Vibrant Yellow'],,,
334,1989,2021,310 ['Metalized Gold'],334 ['Chrome_Gold'],21 ['Chrome Gold'],2 ['Chrome Gold']
1027,1963,1963,,,137 ['Mx Light Yellow'],
54,2001,2006,157 ['Transparent Fluorescent Yellow'],54 ['Trans_Neon_Yellow'],121 ['Trans-Neon Yellow'],104 ['Transparent Neon Yellow']
1005,2001,2006,234 ['TR. FIRE YELL'],234 ['Trans_Fire_Yellow'],,
18,1993,2006,3 ['Light yellow'],18 ['Light_Yellow'],33 ['Light Yellow'],9 ['Light Yellow']
1011,1949,1949,,,,
1028,1963,1963,,,138 ['Mx Ochre Yellow'],
46,1969,2022,"44 ['Tr. Yellow', 'TR.YEL']",46 ['Trans_Yellow'],19 ['Trans-Yellow'],109 ['Transparent Yellow']
14,1949,2022,"24 ['Bright yellow', 'BR.YEL']",14 ['Yellow'],3 ['Yellow'],93 ['Yellow']
1022,1963,1963,,,133 ['Mx Buff'],
82,1997,2022,"1004 ['W.GOLD, DR.LA.']
335 ['GOLD INK']",82 ['Metallic_Gold'],65 ['Metallic Gold'],124 ['Metallic Gold']
462,1996,2008,"105 ['Br. yellowish orange', 'BR.YELORA']",462 ['Medium_Orange'],31 ['Medium Orange'],7 ['Medium Orange']
308,2008,2022,"308 ['Dark Brown', 'DK. BROWN']",308 ['Dark_Brown'],120 ['Dark Brown'],51 ['Dark Brown']
191,2002,2022,"191 ['Flame yellowish orange', 'FL. YELL-ORA']",191 ['Bright_Light_Orange'],110 ['Bright Light Orange'],43 ['Bright Light Orange']
297,2002,2022,"297 ['Warm Gold', 'W.GOLD']",297 ['Pearl_Gold'],115 ['Pearl Gold'],120 ['Pearl Gold']
1012,1983,1983,,,160 ['Fabuland Orange'],
142,2000,2006,127 ['Gold'],142 ['Pearl_Light_Gold'],61 ['Pearl Light Gold'],121 ['Pearl Light Gold']
19,1982,2022,"5 ['Brick yellow', 'BRICK-YEL']",19 ['Tan'],2 ['Tan'],89 ['Tan']
366,1982,2006,"128 ['Dark Nougat', 'DARK NOUGAT']
1008 ['L.ORABROWN']","366 ['Earth_Orange']
128 ['Dark_Nougat']",29 ['Earth Orange'],59 ['Earth Orange']
1004,2003,2006,231 ['TR. FL. YEL ORA'],231 ['Trans_Bright_Light_Orange'],164 ['Trans Light Orange'],
125,1998,2005,,125 ['Light_Orange'],32 ['Light Orange'],8 ['Light Orange']
57,1993,2022,"47 ['Tr. Flu. Reddish orange', 'TR.FL.REDORA']",38 ['Trans_Neon_Orange'],18 ['Trans-Neon Orange'],161 ['Transparent Neon Reddish Orange']
484,1979,2022,"38 ['Dark Orange', 'DK.ORA']",484 ['Dark_Orange'],68 ['Dark Orange'],54 ['Dark Orange']
25,1997,2022,"106 ['Bright orange', 'BR.ORANGE']",25 ['Orange'],4 ['Orange'],80 ['Orange']
182,2002,2022,"182 ['Tr. Bright Orange', 'TR. BR. ORANGE']",57 ['Trans_Orange'],98 ['Trans-Orange'],105 ['Transparent Orange']
1052,2020,2020,1018 ['TR.BR:ORA W/GLI'],341 ['Glitter_Trans_Orange'],,
84,2000,2022,"312 ['Medium Nougat', 'M. NOUGAT']",84 ['Medium_Dark_Flesh'],150 ['Medium Nougat'],74 ['Medium Dark Flesh']
86,2002,2006,86 ['BROWN'],86 ['Dark_Flesh'],91 ['Medium Brown'],52 ['Dark Flesh']
178,2002,2007,"1001 ['Gold Metallic', 'MET.SAND.YEL']",178 ['Flat_Dark_Gold'],81 ['Flat Dark Gold'],21 ['Flat Dark Gold']
1021,1963,1963,,,132 ['Mx Brown'],
68,2000,2000,36 ['Light Yellowish Orange'],68 ['Very_Light_Orange'],96 ['Very Light Orange'],91 ['Very Light Orange']
60,2001,2005,,60 ['Chrome_Antique_Brass'],57 ['Chrome Antique Brass'],110 ['Chrome Brass']
78,1997,2022,"283 ['Light Nougat', 'L.NOUGAT']",78 ['Light_Flesh'],90 ['Light Nougat'],65 ['Light Flesh']
28,2001,2022,138 ['Sand yellow'],28 ['Dark_Tan'],69 ['Dark Tan'],57 ['Dark Tan']
1026,1963,1963,,,136 ['Mx Light Orange'],
92,1979,2022,18 ['Nougat'],92 ['Flesh'],28 ['Nougat'],6 ['Flesh']
134,2001,2021,"346 ['Copper Metallic']
139 ['Copper', 'RED. GOLD']
1016 ['COPPER INK']
134 ['COPPER, DR.LA.']",134 ['Copper'],84 ['Copper'],116 ['Copper']
1025,1963,1963,,,135 ['Mx Orange'],
6,1974,2008,"187 ['Sand Yellow Metallic', 'MET. EAR.ORA']
217 ['Brown']
25 ['Earth Orange', 'EARTH-ORA']",6 ['Brown'],8 ['Brown'],46 ['Brown']
1056,2020,2021,"360 ['Transparent Brown with Opalescence', 'Tr. Brown Opal']",,229 ['Satin Trans-Black'],201 ['Transparent Black Opal']
450,1979,1997,12 ['Light Orange Brown'],450 ['Fabuland_Brown'],106 ['Fabuland Brown'],23 ['Fabuland Brown']
70,2000,2022,"192 ['Reddish Brown', 'RED. BROWN']",70 ['Reddish_Brown'],88 ['Reddish Brown'],82 ['Reddish Brown']
12,1997,2004,4 ['Brick Red'],12 ['Salmon'],25 ['Salmon'],84 ['Salmon']
1010,1949,1949,,,,
4,1949,2022,"21 ['Bright red', 'BR.RED']
184 ['Metallic Bright Red', 'MET. BR. RED']","4 ['Red']
184 ['Metallic_Bright_Red']",5 ['Red'],81 ['Red']
36,1969,2022,"41 ['Tr. Red', 'TR.RED']",36 ['Trans_Red'],17 ['Trans-Red'],108 ['Transparent Red']
216,1991,2001,216 ['Rust'],216 ['Rust'],27 ['Rust'],83 ['Rust']
1024,1963,1963,,,130 ['Mx Pink Red'],
320,2001,2022,"154 ['Dark red', 'NEW DARK RED', '10. MULTI']",320 ['Dark_Red'],59 ['Dark Red'],56 ['Dark Red']
1019,1963,1963,,,131 ['Mx Tile Brown'],
1023,1963,1963,,,129 ['Mx Red'],
335,2001,2004,153 ['Sand red'],335 ['Sand_Red'],58 ['Sand Red'],87 ['Sand Red']
100,1997,1999,100 ['Light red'],100 ['Light_Salmon'],26 ['Light Salmon'],5 ['Light Salmon']
77,1994,2007,223 ['Light Pink'],77 ['Light_Pink'],56 ['Light Pink'],68 ['Light Pink']
1017,1963,1963,,,127 ['Mx Tile Gray'],
40,1999,2022,"111 ['Tr. Brown', 'TR.BROWN']",40 ['Trans_Black'],13 ['Trans-Black'],95 ['Transparent Black']
15,1949,2022,1 ['White'],15 ['White'],1 ['White'],92 ['White']
79,1963,2008,20 ['Nature'],79 ['Milky_White'],60 ['Milky White'],130 ['Translucent White']
117,1999,2021,"117 ['Transparent Glitter', 'TR.W.GLITTER']",117 ['Glitter_Trans_Clear'],101 ['Glitter Trans-Clear'],131 ['Transparent Glitter']
1039,1963,1963,,,149 ['Mx Clear'],
47,1954,2022,"40 ['Transparent', 'TR.']",47 ['Trans_Clear'],12 ['Trans-Clear'],97 ['Transparent']
1055,2020,2021,"360 ['Transparent with Opalescence', 'Tr. Opalescence']",360 ['Opal_Trans_Clear'],228 ['Satin White'],193 ['Transparent Opal']
1013,1963,1963,,,123 ['Mx White'],
183,2003,2006,"183 ['Metallic White', 'MET. WHITE']",183 ['Pearl_White'],83 ['Pearl White'],123 ['Pearlescent']
151,2000,2013,"208 ['Light stone grey', 'LGH. ST. GREY']",151 ['Very_Light_Bluish_Gray'],99 ['Very Light Bluish Gray'],90 ['Light Stone Gray']
383,1977,2018,309 ['Metalized Silver'],383 ['Chrome_Silver'],22 ['Chrome Silver'],115 ['Chrome Silver']
1000,2004,2022,329 ['WHITE GLOW'],329 ['Glow_In_Dark_White'],159 ['Glow in Dark White'],129 ['Glow in the Dark White']
150,2002,2003,,150 ['Pearl_Very_Light_Grey'],119 ['Pearl Very Light Gray'],27 ['Pearl Very Light Gray']
71,2002,2022,"194 ['Medium stone grey', 'MED. ST-GREY']",71 ['Light_Bluish_Gray'],86 ['Light Bluish Gray'],64 ['Medium Stone Gray']
1015,1963,1963,,,125 ['Mx Light Gray'],
179,1998,2022,"315 ['Silver Metallic', 'SILVER MET.']",179 ['Flat_Silver'],95 ['Flat Silver'],117 ['Flat Silver']
72,2002,2022,"199 ['Dark stone grey', 'DK. ST. GREY']",72 ['Dark_Bluish_Gray'],85 ['Dark Bluish Gray'],50 ['Dark Stone Gray']
76,2006,2006,,76 ['Speckle_Dark_Bluish_Gray_Silver'],117 ['Speckle DBGray-Silver'],134 ['Speckle Gray']
148,2001,2022,"316 ['Titanium Metallic', 'TITAN. METAL.']
148 ['Mettalic Dark Grey', 'MET.DK.GREY']","83 ['Metallic_Black']
148 ['Pearl_Dark_Gray']
87 ['Metallic_Dark_Gray']",77 ['Pearl Dark Gray'],119 ['Pearl Dark Gray']